epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,841.167,1.2263,4.44005,1.54428,0.00361,0.86747,0.01912,0.0109,0.97373,4.84554,1.46493,0.000550705,0.000183568,0.000550705,0.000183568,0.000550705,0.000183568,0.000550705,0.000183568
2,1487.1,1.02463,4.23301,1.3824,0.0735,0.26845,0.06542,0.04588,0.85199,4.58875,1.3438,0.00108479,0.000361597,0.00108479,0.000361597,0.00108479,0.000361597,0.00108479,0.000361597
3,2064.65,0.95332,3.94883,1.31661,0.09602,0.32808,0.09999,0.07412,0.86954,4.35735,1.33175,0.00159686,0.000532287,0.00159686,0.000532287,0.00159686,0.000532287,0.00159686,0.000532287
4,2617.8,0.97525,3.67201,1.33325,0.1014,0.5469,0.139,0.10548,0.85015,4.06928,1.30077,0.00156892,0.000522974,0.00156892,0.000522974,0.00156892,0.000522974,0.00156892,0.000522974
5,3167.18,0.96728,3.40764,1.30661,0.12804,0.44381,0.17104,0.13012,0.83341,3.83462,1.27559,0.00153589,0.000511965,0.00153589,0.000511965,0.00153589,0.000511965,0.00153589,0.000511965
6,3725.34,0.95992,3.2389,1.30286,0.20491,0.43957,0.25463,0.18923,0.83088,3.59956,1.27037,0.00150287,0.000500956,0.00150287,0.000500956,0.00150287,0.000500956,0.00150287,0.000500956
7,4275.26,0.9287,3.08328,1.28106,0.27401,0.47125,0.37062,0.27897,0.828,3.38307,1.24847,0.00146984,0.000489947,0.00146984,0.000489947,0.00146984,0.000489947,0.00146984,0.000489947
8,4835.2,0.94909,2.88525,1.27617,0.40992,0.49115,0.47165,0.3631,0.80991,3.17087,1.22684,0.00143682,0.000478938,0.00143682,0.000478938,0.00143682,0.000478938,0.00143682,0.000478938
9,5391.69,0.92442,2.7497,1.24998,0.47541,0.55165,0.56113,0.43733,0.80148,2.95745,1.21198,0.00140379,0.00046793,0.00140379,0.00046793,0.00140379,0.00046793,0.00140379,0.00046793
10,5951.33,0.92195,2.59751,1.24288,0.51541,0.68034,0.62827,0.48146,0.81125,2.80992,1.21276,0.00137076,0.000456921,0.00137076,0.000456921,0.00137076,0.000456921,0.00137076,0.000456921
11,6508.34,0.89391,2.45122,1.22807,0.56272,0.67992,0.6848,0.53354,0.81063,2.70292,1.20073,0.00133774,0.000445912,0.00133774,0.000445912,0.00133774,0.000445912,0.00133774,0.000445912
12,7068.76,0.88712,2.32353,1.21639,0.60825,0.73875,0.71862,0.55938,0.79707,2.59675,1.20182,0.00130471,0.000434903,0.00130471,0.000434903,0.00130471,0.000434903,0.00130471,0.000434903
13,7622.33,0.89805,2.26444,1.21775,0.62807,0.76962,0.74751,0.57989,0.80864,2.51503,1.21334,0.00127168,0.000423894,0.00127168,0.000423894,0.00127168,0.000423894,0.00127168,0.000423894
14,8187.36,0.87142,2.18892,1.21394,0.69803,0.70909,0.77923,0.59952,0.80159,2.46588,1.20437,0.00123866,0.000412886,0.00123866,0.000412886,0.00123866,0.000412886,0.00123866,0.000412886
15,8739.17,0.86778,2.10497,1.19115,0.73076,0.77102,0.8244,0.64752,0.79991,2.32052,1.19112,0.00120563,0.000401877,0.00120563,0.000401877,0.00120563,0.000401877,0.00120563,0.000401877
16,9288.15,0.86924,2.06082,1.18956,0.72635,0.78439,0.81535,0.64309,0.78564,2.28058,1.17776,0.0011726,0.000390868,0.0011726,0.000390868,0.0011726,0.000390868,0.0011726,0.000390868
17,9832.51,0.85077,1.95589,1.17307,0.75429,0.77453,0.83247,0.65837,0.7683,2.22462,1.16431,0.00113958,0.000379859,0.00113958,0.000379859,0.00113958,0.000379859,0.00113958,0.000379859
18,10394,0.85301,1.94216,1.17145,0.7891,0.77883,0.84589,0.66496,0.77733,2.18876,1.16507,0.00110655,0.00036885,0.00110655,0.00036885,0.00110655,0.00036885,0.00110655,0.00036885
19,10949.7,0.83197,1.87541,1.16466,0.75473,0.83449,0.85473,0.6775,0.77223,2.13812,1.15455,0.00107352,0.000357842,0.00107352,0.000357842,0.00107352,0.000357842,0.00107352,0.000357842
20,11504.3,0.86386,1.86467,1.17169,0.78173,0.81574,0.86261,0.68047,0.7912,2.10379,1.1717,0.0010405,0.000346833,0.0010405,0.000346833,0.0010405,0.000346833,0.0010405,0.000346833
21,12058.2,0.82055,1.78759,1.1513,0.80446,0.817,0.87527,0.69386,0.77739,2.06156,1.16378,0.00100747,0.000335824,0.00100747,0.000335824,0.00100747,0.000335824,0.00100747,0.000335824
22,12617.6,0.82389,1.80668,1.16119,0.8395,0.75269,0.87626,0.69519,0.76046,2.02746,1.15313,0.000974446,0.000324815,0.000974446,0.000324815,0.000974446,0.000324815,0.000974446,0.000324815
23,13168.4,0.81504,1.75454,1.14839,0.82273,0.80964,0.87627,0.69887,0.7613,2.02343,1.14385,0.000941419,0.000313806,0.000941419,0.000313806,0.000941419,0.000313806,0.000941419,0.000313806
